epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,14284.9,0.98893,0.67667,1.13545,0.95411,0.80389,0.87923,0.68572,0.87477,0.5363,1.09139,0.005545,0.005545,0.005545
137,14389.9,1.00579,0.67966,1.13804,0.94886,0.80806,0.87911,0.68592,0.87059,0.53325,1.08937,0.005512,0.005512,0.005512
138,14494.8,0.99058,0.67805,1.13388,0.94869,0.80547,0.87805,0.68594,0.87299,0.5338,1.08977,0.005479,0.005479,0.005479
139,14599.9,0.98125,0.66438,1.1282,0.94948,0.80639,0.87901,0.68786,0.86747,0.53161,1.08664,0.005446,0.005446,0.005446
140,14704.9,0.97913,0.6699,1.13064,0.94319,0.80808,0.87765,0.68676,0.8644,0.53171,1.08453,0.005413,0.005413,0.005413
141,14809.7,0.97519,0.65899,1.12867,0.94802,0.8105,0.87717,0.68809,0.86454,0.53124,1.08701,0.00538,0.00538,0.00538
142,14914.8,0.97948,0.66685,1.12777,0.9531,0.80556,0.87793,0.68849,0.8609,0.52854,1.08385,0.005347,0.005347,0.005347
143,15019.9,0.97659,0.66461,1.12457,0.94056,0.81145,0.87857,0.68779,0.85961,0.52718,1.08247,0.005314,0.005314,0.005314
144,15124.8,0.97418,0.66263,1.12692,0.9415,0.81213,0.87916,0.68896,0.85955,0.52986,1.0829,0.005281,0.005281,0.005281
145,15229.9,0.96715,0.65194,1.12611,0.93861,0.81219,0.87743,0.6885,0.8603,0.52903,1.08347,0.005248,0.005248,0.005248
146,15335,0.97006,0.66561,1.12594,0.94558,0.81099,0.87826,0.68855,0.85815,0.53232,1.08295,0.005215,0.005215,0.005215
147,15440,0.97586,0.66484,1.12485,0.94449,0.81104,0.87748,0.68903,0.85362,0.52715,1.08252,0.005182,0.005182,0.005182
148,15545.4,0.96682,0.65593,1.12052,0.947,0.80987,0.87751,0.69328,0.84877,0.52335,1.08103,0.005149,0.005149,0.005149
149,15650.4,0.95546,0.64593,1.11797,0.94246,0.81161,0.87829,0.6946,0.84628,0.52321,1.08173,0.005116,0.005116,0.005116
150,15755.4,0.95338,0.64314,1.11283,0.93512,0.81577,0.87774,0.69347,0.84687,0.52225,1.08167,0.005083,0.005083,0.005083
151,15860.2,0.95018,0.64502,1.11318,0.94018,0.81476,0.87831,0.69488,0.84086,0.52135,1.07922,0.00505,0.00505,0.00505
152,15965.2,0.96129,0.64907,1.11641,0.9345,0.81687,0.8784,0.69587,0.84196,0.51935,1.08115,0.005017,0.005017,0.005017
153,16070,0.94853,0.63395,1.1127,0.93858,0.81416,0.87838,0.69628,0.83859,0.51796,1.0768,0.004984,0.004984,0.004984
154,16175.1,0.95725,0.65218,1.11276,0.94999,0.80926,0.87948,0.69676,0.83818,0.51765,1.07558,0.004951,0.004951,0.004951
155,16280.1,0.9469,0.6308,1.11414,0.95519,0.80963,0.88042,0.69731,0.83674,0.51387,1.07367,0.004918,0.004918,0.004918
156,16385.1,0.94048,0.63772,1.10975,0.94388,0.81554,0.88142,0.69703,0.83773,0.51038,1.07428,0.004885,0.004885,0.004885
157,16490.1,0.95743,0.6442,1.11111,0.95035,0.81189,0.88174,0.69774,0.8375,0.50962,1.07306,0.004852,0.004852,0.004852
158,16595,0.9294,0.63071,1.09875,0.95198,0.81195,0.88263,0.69899,0.83703,0.50883,1.07264,0.004819,0.004819,0.004819
159,16700.1,0.9332,0.62206,1.10298,0.95166,0.81246,0.88208,0.69696,0.83831,0.50929,1.07399,0.004786,0.004786,0.004786
160,16805.1,0.94082,0.63004,1.10284,0.94684,0.81599,0.88155,0.6975,0.83608,0.50762,1.07321,0.004753,0.004753,0.004753
161,16910,0.92527,0.6165,1.103,0.9485,0.81523,0.88008,0.6965,0.83451,0.50859,1.0722,0.00472,0.00472,0.00472
162,17014.8,0.93293,0.62774,1.10151,0.94975,0.81276,0.88037,0.69782,0.83142,0.50771,1.07152,0.004687,0.004687,0.004687
163,17119.9,0.94079,0.62823,1.10627,0.94902,0.81384,0.88035,0.69892,0.8267,0.50624,1.06933,0.004654,0.004654,0.004654
164,17224.8,0.93174,0.62077,1.09616,0.94713,0.8142,0.88037,0.70003,0.82424,0.50618,1.06794,0.004621,0.004621,0.004621
165,17329.8,0.92379,0.61249,1.09202,0.95353,0.81255,0.88053,0.7006,0.82154,0.50588,1.06585,0.004588,0.004588,0.004588
166,17435.1,0.92385,0.62476,1.0953,0.95135,0.8135,0.8795,0.7018,0.81975,0.50408,1.06511,0.004555,0.004555,0.004555
167,17540,0.9216,0.6145,1.09279,0.95732,0.81253,0.87953,0.70233,0.81711,0.50379,1.06303,0.004522,0.004522,0.004522
168,17645.2,0.92192,0.60949,1.09182,0.95897,0.80983,0.88,0.7018,0.8148,0.50415,1.06118,0.004489,0.004489,0.004489
169,17750.2,0.90561,0.60597,1.08089,0.95484,0.8113,0.88027,0.70312,0.8122,0.50243,1.0594,0.004456,0.004456,0.004456
170,17855.1,0.9177,0.6068,1.08998,0.95436,0.81116,0.88082,0.70475,0.80929,0.50086,1.05711,0.004423,0.004423,0.004423
171,17960.2,0.90638,0.60154,1.08516,0.95405,0.81121,0.87987,0.70441,0.80804,0.50089,1.05613,0.00439,0.00439,0.00439
172,18065.3,0.90945,0.5998,1.08559,0.95043,0.81409,0.88033,0.7046,0.80864,0.49954,1.05647,0.004357,0.004357,0.004357
173,18170.6,0.91112,0.60063,1.08931,0.95633,0.8113,0.88135,0.70476,0.80782,0.50003,1.0566,0.004324,0.004324,0.004324
174,18275.6,0.90472,0.59101,1.08208,0.95006,0.81511,0.88209,0.70575,0.80652,0.49908,1.05654,0.004291,0.004291,0.004291
175,18380.6,0.89067,0.59422,1.08154,0.95477,0.81397,0.88215,0.7074,0.80531,0.49711,1.05687,0.004258,0.004258,0.004258
176,18485.5,0.89854,0.58909,1.08028,0.95598,0.81283,0.88224,0.70785,0.80452,0.49513,1.05687,0.004225,0.004225,0.004225
177,18590.6,0.90082,0.59673,1.07901,0.94355,0.82008,0.88205,0.70839,0.80266,0.49515,1.05587,0.004192,0.004192,0.004192
178,18695.5,0.89434,0.59834,1.08138,0.94635,0.81911,0.88238,0.70834,0.79997,0.49474,1.05374,0.004159,0.004159,0.004159
179,18800.5,0.9035,0.60038,1.08119,0.9545,0.81398,0.8817,0.70881,0.79902,0.4946,1.05317,0.004126,0.004126,0.004126
180,18905.6,0.8904,0.59838,1.07722,0.95534,0.81331,0.88157,0.70886,0.79734,0.49371,1.05211,0.004093,0.004093,0.004093
181,19010.4,0.88187,0.58485,1.07005,0.95399,0.81447,0.88161,0.70873,0.79658,0.49389,1.05211,0.00406,0.00406,0.00406
182,19116.5,0.89003,0.59586,1.07218,0.95427,0.81289,0.88185,0.70902,0.79553,0.49453,1.0519,0.004027,0.004027,0.004027
183,19221.4,0.88723,0.59057,1.07514,0.95414,0.81236,0.88127,0.70988,0.79457,0.49327,1.05139,0.003994,0.003994,0.003994
184,19326.2,0.88355,0.57944,1.07068,0.95209,0.8141,0.88139,0.71022,0.79356,0.49149,1.0512,0.003961,0.003961,0.003961
185,19431.2,0.88628,0.59279,1.07411,0.95296,0.81476,0.88216,0.7111,0.79329,0.49192,1.05124,0.003928,0.003928,0.003928
186,19536.4,0.87737,0.57606,1.06864,0.94785,0.81838,0.88222,0.71178,0.79313,0.4916,1.05104,0.003895,0.003895,0.003895
